ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
VK,0,0,0,0,0,false,false
T7P,0,0,0,0,0,false,false
82J,0,0,0,0,0,false,false
AVJ,0,0,0,0,0,false,false
LLP,0,0,0,0,0,false,false
ZX0,0,0,0,0,0,false,false
ARA,0,0,0,0,0,false,false
PTI,0,0,0,0,0,false,false
M3R,0,0,0,0,0,false,false
VRD,0,0,0,0,0,false,false
JCC,0,0,0,0,0,false,false
AAV,0,0,0,0,0,false,false
SGQ,0,0,0,0,0,false,false
ELB,0,0,0,0,0,false,false
95W,0,0,0,0,0,false,false
BER,0,0,0,0,0,false,false
DTR,0,0,0,0,0,false,false
DQA,0,0,0,0,0,false,false
ART,0,0,0,0,0,false,false
BJN,0,0,0,0,0,false,false
CJL,0,0,0,0,0,false,false
TNA,0,0,0,0,0,false,false
WOW,0,0,0,0,0,false,false
SUD,0,0,0,0,0,false,false
FTZ,0,0,0,0,0,false,false
23U,0,0,0,0,0,false,false
VAR,0,0,0,0,0,false,false
ITY,0,0,0,0,0,false,false
46U,0,0,0,0,0,false,false
EMPTY,0,0,0,0,0,false,false
MGW,0,0,0,0,0,false,false
SAI,0,0,0,0,0,false,false
ANK,0,0,0,0,0,false,false
NMA,0,0,0,0,0,false,false
WAU,0,0,0,0,0,false,false
IZM,0,0,0,0,0,false,false
TOM,0,0,0,0,0,false,false
GWY,0,0,0,0,0,false,false
CIB,0,0,0,0,0,false,false
SIA,0,0,0,0,0,false,false
UAE,0,0,0,0,0,false,false
AVA,0,0,0,0,0,false,false
CPA,0,0,0,0,0,false,false
GWR,0,0,0,0,0,false,false
SVA,0,0,0,0,0,false,false
UPS,0,0,0,0,0,false,false
QTR,0,0,0,0,0,false,false
ETD,0,0,0,0,0,false,false
ALK,0,0,0,0,0,false,false
CA,0,0,0,0,0,false,false
MAS,0,0,0,0,0,false,false
AIRBUS,0,0,0,0,0,false,false
CDC,0,0,0,0,0,false,false
JAL,0,0,0,0,0,false,false
TTW,0,0,0,0,0,false,false
CHB,0,0,0,0,0,false,false
DAL,0,0,0,0,0,false,false
HFY,0,0,0,0,0,false,false
SBI,0,0,0,0,0,false,false
BAW,0,0,0,0,0,false,false
GOW,0,0,0,0,0,false,false
KAL,0,0,0,0,0,false,false
VTI,0,0,0,0,0,false,false
ACI,0,0,0,0,0,false,false
EZY,0,0,0,0,0,false,false
DLH,0,0,0,0,0,false,false
PJS,0,0,0,0,0,false,false
GAF,0,0,0,0,0,false,false
CHH,0,0,0,0,0,false,false
BAV,0,0,0,0,0,false,false
PL7,0,0,0,0,0,false,false
SEH,0,0,0,0,0,false,false
-,0,0,0,0,0,false,false
DNU,0,0,0,0,0,false,false
FAF,0,0,0,0,0,false,false
TAP,0,0,0,0,0,false,false
AIB,0,0,0,0,0,false,false
KME,0,0,0,0,0,false,false
GCR,0,0,0,0,0,false,false
CAL,0,0,0,0,0,false,false
VLG,0,0,0,0,0,false,false
WZZ,0,0,0,0,0,false,false
SEP,0,0,0,0,0,false,false
UZB,0,0,0,0,0,false,false
DKH,0,0,0,0,0,false,false
SJX,0,0,0,0,0,false,false
NVD,0,0,0,0,0,false,false
IAD,0,0,0,0,0,false,false
GAP,0,0,0,0,0,false,false
VOE,0,0,0,0,0,false,false
5X,0,0,0,0,0,false,false
MSR,0,0,0,0,0,false,false
CBJ,0,0,0,0,0,false,false
CSN,0,0,0,0,0,false,false
LAN,0,0,0,0,0,false,false
AAL,0,0,0,0,0,false,false
PAL,0,0,0,0,0,false,false
JBU,0,0,0,0,0,false,false
RJA,0,0,0,0,0,false,false
N/A,0,0,0,0,0,false,false
GFA,0,0,0,0,0,false,false
HVN,0,0,0,0,0,false,false
VVC,0,0,0,0,0,false,false
ANA,0,0,0,0,0,false,false
AXM,0,0,0,0,0,false,false
HKE,0,0,0,0,0,false,false
CES,0,0,0,0,0,false,false
THY,0,0,0,0,0,false,false
FFT,0,0,0,0,0,false,false
TAR,0,0,0,0,0,false,false
AHK,0,0,0,0,0,false,false
FWI,0,0,0,0,0,false,false
FIN,0,0,0,0,0,false,false
ETH,0,0,0,0,0,false,false
KAC,0,0,0,0,0,false,false
TGW,0,0,0,0,0,false,false
HAL,0,0,0,0,0,false,false
TLM,0,0,0,0,0,false,false
